run,router,top_k,capacity_factor,num_experts,dim,expand,world_size,best_step,best_val_ppl,best_val_loss,best_tokens_per_s,best_eff_tflops,final_val_ppl,final_val_loss,median_tokens_per_s,median_eff_tflops,median_bw_GiBps,mean_drop_rate,mean_load_cv,log_path
unified_expert_choice_cf1_0,expert-choice,2,1.0,8,256,,4,1200,5.753985507511259,1.7498927464454854,27183798.94933622,57.120990526652804,5.753985507511259,1.7498927464454854,27154705.034006163,57.05985583149675,77.69023428155755,0.1081988016764323,0.17563870859642824,/scratch/yx87/playground/moe-routing-bench/runs/unified_expert_choice_cf1_0/train_log.jsonl
unified_expert_choice_cf1_25,expert-choice,2,1.25,8,256,,4,1200,5.498171599204365,1.7044156004608626,25568619.27815567,53.727032865757174,5.498171599204365,1.7044156004608626,25560956.75874851,53.71093170567714,73.13048389076761,0.03591601053873698,0.30399972572922707,/scratch/yx87/playground/moe-routing-bench/runs/unified_expert_choice_cf1_25/train_log.jsonl
unified_hash_cf1_0,hash,2,1.0,8,256,,4,1200,6.491945374962659,1.8705622354090985,28623705.76188972,60.146649432989726,6.491945374962659,1.8705622354090985,27669045.159111947,58.14063256430002,79.16177318318924,0.0,0.0,/scratch/yx87/playground/moe-routing-bench/runs/unified_hash_cf1_0/train_log.jsonl
unified_hash_cf1_25,hash,2,1.25,8,256,,4,1200,6.491945374962659,1.8705622354090985,28017326.984543905,58.87247298469829,6.491945374962659,1.8705622354090985,27265506.203450702,57.292680999236524,78.00723897013866,0.0,0.0,/scratch/yx87/playground/moe-routing-bench/runs/unified_hash_cf1_25/train_log.jsonl
unified_softk_cf1_0,softk,2,1.0,8,256,,4,1200,5.707789181643612,1.7418317650929276,28331273.264212344,59.53216453481023,5.707789181643612,1.7418317650929276,27720986.415513203,58.249776103080904,79.31037830976449,0.08791287740071614,0.14473089203238487,/scratch/yx87/playground/moe-routing-bench/runs/unified_softk_cf1_0/train_log.jsonl
unified_softk_cf1_25,softk,2,1.25,8,256,,4,1200,5.546824603304679,1.7132256204730596,27128284.94140591,57.00433960795694,5.546824603304679,1.7132256204730596,26732214.368485812,56.17208126592682,76.48147879167313,0.04233105977376302,0.2879398825267951,/scratch/yx87/playground/moe-routing-bench/runs/unified_softk_cf1_25/train_log.jsonl
unified_top1_cf1_0,top1,1,1.0,8,256,,4,1200,6.867716861557521,1.9268317164366653,34751129.86402086,36.582931421413136,6.867716861557521,1.9268317164366653,33516440.61049228,35.28315922795255,63.927537175163806,0.3418693542480469,0.5591435357928276,/scratch/yx87/playground/moe-routing-bench/runs/unified_top1_cf1_0/train_log.jsonl
unified_top1_cf1_25,top1,1,1.25,8,256,,4,1200,6.690074900741031,1.9006250700028788,34264458.2219881,36.07060634378553,6.690074900741031,1.9006250700028788,33074062.471084163,34.81746245205995,63.08376783577759,0.25124359130859375,0.6028162837028503,/scratch/yx87/playground/moe-routing-bench/runs/unified_top1_cf1_25/train_log.jsonl
unified_topk_hard_cf1_0,topk-hard,2,1.0,8,256,,4,1200,6.506754473521855,1.8728407871318042,31353915.93776026,65.88360731302438,6.506754473521855,1.8728407871318042,30126711.224784713,63.30489677610542,86.19321219859518,0.25382041931152344,0.42971959710121155,/scratch/yx87/playground/moe-routing-bench/runs/unified_topk_hard_cf1_0/train_log.jsonl
unified_topk_hard_cf1_25,topk-hard,2,1.25,8,256,,4,1200,6.152669616065401,1.8168860715443338,30123403.410381746,63.29794610539423,6.152669616065401,1.8168860715443338,29390016.145052694,61.75688824540548,84.08551066890533,0.15705108642578125,0.4888046806057294,/scratch/yx87/playground/moe-routing-bench/runs/unified_topk_hard_cf1_25/train_log.jsonl
